"_id","eqid","classDate","classId","workID","lineid","lineState","linename","qty_IN","qty","calculateQTY","passqty","badnessqty","acQty_IN","actualQty","actuaPassQty","frate","mrate","theoreticalqty","achieverate","yield","onlineInventory","planqty","ddate"
"6819c1e31b1ce60c554feec7","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:39"
"6819c1e01b1ce60c554feec6","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:36"
"6819c1dd1b1ce60c554feec5","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:33"
"6819c1d71b1ce60c554feec4","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:27"
"6819c1d41b1ce60c554feec3","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:24"
"6819c1d11b1ce60c554feec2","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:21"
"6819c1cb1b1ce60c554feec1","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:15"
"6819c1c81b1ce60c554feec0","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:12"
"6819c1c21b1ce60c554feebf","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:06"
"6819c1bf1b1ce60c554feebe","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:03"
"6819c1b91b1ce60c554feebd","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:00:57"
"6819c1b31b1ce60c554feebc","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:00:51"
"6819c1b01b1ce60c554feebb","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:00:48"
"6819c1aa1b1ce60c554feeba","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:00:42"
"6819c1a41b1ce60c554feeb9","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:00:36"
